Language,Word,Translation
Spanish,Hola,Hello
Spanish,Gracias,Thank you
Spanish,Adiós,Goodbye
Spanish,Por favor,Please
Spanish,Sí,Yes
Spanish,No,No
Spanish,Agua,Water
Spanish,Comida,Food
Spanish,Casa,House
Spanish,Familia,Family
Spanish,Amigo,Friend
Spanish,Gato,Cat
Spanish,Perro,Dog
Spanish,Jardín,Garden
Spanish,Libro,Book

French,Bonjour,Good morning
French,Merci,Thanks
French,Au revoir,Goodbye
French,S'il vous plaît,Please
French,Oui,Yes
French,Non,No
French,Eau,Water
French,Nourriture,Food
French,Maison,House
French,Famille,Family
French,Ami,Friend
French,Chien,Dog
French,Chat,Cat
French,Jardin,Garden
French,Livre,Book

Japanese,Konnichiwa,Hello
Japanese,Arigatou,Thank you
Japanese,Sayonara,Goodbye
Japanese,Onegaishimasu,Please
Japanese,Hai,Yes
Japanese,Iie,No
Japanese,Mizu,Water
Japanese,Tabemono,Food
Japanese,Ie,House
Japanese,Kazoku,Family
Japanese,Tomodachi,Friend
Japanese,Inu,Dog
Japanese,Neko,Cat
Japanese,Niwa,Garden
Japanese,Hon,Book

Hawaiian,Aloha,Hello/Goodbye
Hawaiian,Mahalo,Thank you
Hawaiian,A hui hou,Until we meet again
Hawaiian,E 'olu'olu,Please
Hawaiian,'Ae,Yes
Hawaiian,A'ole,No
Hawaiian,Wai,Water
Hawaiian,Mea 'ai ,Food
Hawaiian,Hale,House
Hawaiian,ʻOhana,Family
Hawaiian,Hoaloha,Friend
Hawaiian,'Ilio,Dog
Hawaiian,Pōpoki,Cat
Hawaiian,Puke,Book
Hawaiian,Malā,Garden

Swahili,Habari,Hello
Swahili,Asante,Thank you
Swahili,Kwaheri,Goodbye
Swahili,Tafadhali,Please
Swahili,Ndiyo,Yes
Swahili,Hapana,No
Swahili,Maji,Water
Swahili,Chakula,Food
Swahili,Nyumba,House
Swahili,Familia,Family
Swahili,Rafiki,Friend
Swahili,Mbwa,Dog
Swahili,Paka,Cat
Swahili,Kitabu,Book
Swahili,Bustani,Garden
